year,city,country,avg_temp,global_temp
1965,Bern,Switzerland,6.28,8.53
1966,Bern,Switzerland,7.32,8.60
1967,Bern,Switzerland,7.37,8.70
1968,Bern,Switzerland,6.94,8.52
1969,Bern,Switzerland,6.64,8.60
1970,Bern,Switzerland,6.66,8.70
1971,Bern,Switzerland,7.11,8.60
1972,Bern,Switzerland,6.71,8.50
1973,Bern,Switzerland,6.74,8.95
1974,Bern,Switzerland,7.39,8.47
1975,Bern,Switzerland,7.33,8.74
1976,Bern,Switzerland,7.26,8.35
1977,Bern,Switzerland,7.38,8.85
1978,Bern,Switzerland,6.42,8.69
1979,Bern,Switzerland,6.93,8.73
1980,Bern,Switzerland,6.34,8.98
1981,Bern,Switzerland,6.98,9.17
1982,Bern,Switzerland,7.67,8.64
1983,Bern,Switzerland,7.70,9.03
1984,Bern,Switzerland,6.73,8.69
1985,Bern,Switzerland,6.64,8.66
1986,Bern,Switzerland,6.90,8.83
1987,Bern,Switzerland,6.87,8.99
1988,Bern,Switzerland,7.81,9.20
1989,Bern,Switzerland,8.05,8.92
1990,Bern,Switzerland,8.19,9.23
1991,Bern,Switzerland,7.24,9.18
1992,Bern,Switzerland,7.98,8.84
1993,Bern,Switzerland,7.48,8.87
1994,Bern,Switzerland,8.78,9.04
1995,Bern,Switzerland,7.65,9.35
1996,Bern,Switzerland,6.66,9.04
1997,Bern,Switzerland,7.96,9.20
1998,Bern,Switzerland,7.81,9.52
1999,Bern,Switzerland,7.76,9.29
2000,Bern,Switzerland,8.54,9.20
2001,Bern,Switzerland,7.82,9.41
2002,Bern,Switzerland,8.42,9.57
2003,Bern,Switzerland,8.48,9.53
2004,Bern,Switzerland,7.67,9.32
2005,Bern,Switzerland,7.49,9.70
2006,Bern,Switzerland,8.19,9.53
2007,Bern,Switzerland,8.43,9.73
2008,Bern,Switzerland,7.98,9.43
2009,Bern,Switzerland,8.15,9.51
2010,Bern,Switzerland,7.06,9.70
2011,Bern,Switzerland,8.68,9.52
2012,Bern,Switzerland,7.96,9.51
2013,Bern,Switzerland,7.94,9.61
